Layer,Name,GEOID,Population,Longitude,Latitude,YPLL_2013-2017,INC_2015-2019,HDX_2015-2019,EDX_2015-2019,HTA_2015-2019,UMP_2015-2019,POV_2015-2019,POP_2015-2019,VRSU_2015-2019,VRLE_2019
(Indicator name),,,,,,"Years of Potential Life Lost (YPLL), 2013-2017","Median household income, 2015-2019","Hardship Index (score), 2015-2019","Economic Diversity Index, 2015-2019","Single-parent households (% of households), 2015-2019","Unemployment rate (%), 2015-2019","Poverty rate (% of residents), 2015-2019","Population (residents), 2015-2019","Suicide mortality (count of deaths), 2015-2019","Life expectancy (years), 2019"
(Definition),,,,,,"Years of productive life lost per 100,000 population","Income in the past 12 months.","The Hardship Index is a composite score reflecting hardship in the community (higher values indicate greater hardship). It incorporates unemployment, age dependency, education, per capita income, crowded housing, and poverty into a single score that allows comparison between geographies. It is highly correlated with other measures of economic hardship, such as labor force statistics, and with poor health outcomes. See technical notes for details.","The Economic Diversity Index measures the probability that any two residents of an area, chosen at random, belong to different family income levels, measured as multiples of the Federal Poverty Level. A score of 0 represents a perfectly homogenous community; the higher the score, the more economically diverse the area. The highest possible score is 0.833, not 1.","Percentage of households that have children present and are headed by a single parent (mother or father), with no partner present.","Percent of residents 16 and older in the civilian labor force who are actively seeking employment.","Percent of residents in families that are in poverty (below the Federal Poverty Level).","Average population over the time period.","Number of people who died due to suicide.","The average number of years a person may expect to live."
(Citation),,,,,,"Illinois Department of Public Health, Death Certificate Data Files","American Community Survey (Table B19013)","American Community Survey (Calculated by Metopio)","American Community Survey (Table B17026 (Calculated by Metopio))","American Community Survey (Table B11012)","American Community Survey (Tables B23025, B23001, and C23002)","American Community Survey (Table B17001)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,52772,-87.67017100,42.00963000,4507.0,46315.1039123461,61.6305851835111,0.785922778588182,6.46158866106685,5.42814616591768,24.9258198983455,52553.206784,29.0,75.609142959
Community area,Norwood Park,10,41109,-87.80345100,41.98524800,5613.0,88796.2760093882,22.1397383576452,0.668203425448979,4.17024120812746,3.18947194160138,6.70165307442226,38676.029693,24.0,80.673544076
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,7039.0,82186.6493600158,38.3044240486645,0.75110569955204,3.42170115665231,4.5202627822432,9.81145392962761,27475.359833,16.0,80.769752164
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,4023.0,134527.475524901,16.6966474463591,0.499672420053979,3.16785988970883,3.1789036744439,4.41424240534286,19361.55814,4.0,83.1913665
Community area,North Park,13,17522,-87.72357800,41.98365100,4702.0,63921.4308359681,50.3647208413709,0.754029661715651,3.72636970205504,4.52195077423518,11.3278170060913,18896.628476,11.0,81.608388028
Community area,Albany Park,14,48549,-87.72155800,41.96807800,5544.0,68434.8535306377,59.7369008952072,0.764828545273577,6.51064498405324,5.17742460686887,14.3426627384499,49941.765631,23.0,80.313887549
Community area,Portage Park,15,63038,-87.76340100,41.95404300,6320.0,74227.4764605814,48.1072374927625,0.771106918554844,5.547793028084,5.48681981524689,9.39921336647777,64579.129015,27.0,80.616574374
Community area,Irving Park,16,51911,-87.72345700,41.95358900,5762.0,79563.4220681958,32.2954826909654,0.728995434262185,4.36081623145801,3.8563949729241,8.70421881562031,53468.353559,18.0,79.272994681
Community area,Dunning,17,43120,-87.80601500,41.94652200,6437.0,75255.6298815758,36.3611285507848,0.762954740765122,3.14487189339973,3.56023901786579,6.9598650419721,43400.977557,27.0,79.809719713
Community area,Montclare,18,14412,-87.79803300,41.92930600,7287.0,54792.980178819,59.7059659298296,0.810675001888149,6.81902927935894,5.62031738160878,11.6889146001058,14305.195008,11.0,77.097372941
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,6015.0,56322.8393061484,79.4728426728427,0.799617288226404,10.4257000310142,6.16663005645662,15.7922978934644,78649.247667,25.0,79.236140785
Community area,West Ridge,2,77139,-87.69501700,42.00158300,3924.0,65002.6147910326,71.5337682675365,0.772781209891843,6.59722207447168,7.19865017675466,19.520282091658,78444.202314,25.0,80.429572329
Community area,Hermosa,20,24127,-87.73474100,41.92435300,4586.0,50508.4970457566,77.5493962481887,0.792059682585068,8.16207590285084,6.21631056081153,16.4582651730274,23534.165997,4.0,79.503439704
Community area,Avondale,21,36245,-87.71121900,41.93867300,5588.0,72202.962218516,50.0381109667768,0.77146221719717,5.88928457844054,4.32613356623982,14.321270625066,38127.175225,14.0,82.160594481
