"State","Year","Arts_Entertain_Rec","Education","Farming","Finance_Insur","Government","Healthcare_Social","Information","Manufacturing","Mining_Quar_Oil_Gas","Retail"
"Alabama","2000",0.01103,0.01027,0.02394,0.03752,0.16127,0.07547,0.01678,0.14789,0.00395,0.11817
"Alabama","2017",0.01486,0.01592,0.01676,0.0426,0.15207,0.09417,0.01036,0.10329,0.00393,0.10705
"Alaska","2000",0.02216,0.01003,0.00202,0.02918,0.24807,0.0795,0.02096,0.03531,0.02982,0.1096
"Alaska","2017",0.02396,0.01332,0.00333,0.02484,0.22546,0.11465,0.01562,0.03518,0.03761,0.10029
"Arizona","2000",0.01957,0.01034,0.00702,0.05379,0.13876,0.07963,0.02193,0.07832,0.00451,0.11634
"Arizona","2017",0.02225,0.02154,0.00831,0.06481,0.11984,0.1115,0.01532,0.04762,0.00571,0.10702
"Arkansas","2000",0.01048,0.00858,0.04306,0.03243,0.13917,0.09111,0.01575,0.16204,0.00421,0.11072
"Arkansas","2017",0.01338,0.01401,0.03243,0.03686,0.13788,0.1176,0.00988,0.0994,0.00805,0.10521
"California","2000",0.02448,0.01549,0.01699,0.04414,0.13309,0.07869,0.03156,0.09984,0.00184,0.10129
"California","2017",0.02778,0.0226,0.00982,0.04494,0.11799,0.11228,0.02583,0.0601,0.00208,0.08861
"Colorado","2000",0.02536,0.01187,0.01542,0.05431,0.13181,0.0723,0.04052,0.06773,0.00715,0.10603
"Colorado","2017",0.02831,0.02016,0.01332,0.0568,0.13095,0.09115,0.02273,0.04324,0.01487,0.09024
"Connecticut","2000",0.01997,0.02728,0.00463,0.07682,0.12202,0.11115,0.0244,0.1137,0.00088,0.10922
"Connecticut","2017",0.02423,0.03784,0.00417,0.08334,0.11066,0.1332,0.01685,0.0731,0.00122,0.09597
"Delaware","2000",0.02299,0.01342,0.00845,0.0894,0.13154,0.09043,0.01794,0.08597,NA,0.12044
"Delaware","2017",0.02669,0.01683,0.0063,0.10261,0.12598,0.12902,0.01074,0.04691,NA,0.1076
"District of Columbia","2000",0.0135,0.05578,0,0.03002,0.32741,0.07189,0.03872,0.00537,NA,0.02782
"District of Columbia","2017",0.0195,0.06728,0,0.02859,0.27752,0.08269,0.0226,NA,0.00041,0.02968
"Florida","2000",0.02628,0.01178,0.01106,0.04954,0.12304,0.09246,0.02405,0.05287,0.0014,0.12083
"Florida","2017",0.02951,0.01905,0.00656,0.05843,0.09801,0.1091,0.01491,0.03372,0.00194,0.10839
"Georgia","2000",0.01432,0.01447,0.01385,0.04123,0.14296,0.07255,0.03214,0.11068,0.00197,0.11287
"Georgia","2017",0.01926,0.02042,0.0098,0.04722,0.12632,0.09195,0.02267,0.06867,0.0016,0.09895
"Hawaii","2000",0.02598,0.0186,0.01713,0.0333,0.22149,0.07769,0.01824,0.02586,0.00063,0.11209
"Hawaii","2017",0.02559,0.02242,0.01302,0.03209,0.19769,0.08981,0.01189,0.02045,0.00086,0.09836
"Idaho","2000",0.01697,0.01046,0.05398,0.03493,0.15166,0.07825,0.01483,0.09559,0.00423,0.12303
"Idaho","2017",0.02111,0.01834,0.04304,0.04072,0.13217,0.1026,0.01198,0.07261,0.00506,0.11052
"Illinois","2000",0.01784,0.01804,0.01367,0.06063,0.12161,0.0951,0.02295,0.11966,0.00231,0.10416
"Illinois","2017",0.02167,0.02717,0.00939,0.06263,0.11131,0.11226,0.01477,0.07616,0.00296,0.0921
"Indiana","2000",0.01797,0.015,0.02183,0.03872,0.11828,0.08805,0.0144,0.18484,0.00258,0.11918
"Indiana","2017",0.01903,0.02237,0.01609,0.03879,0.11385,0.11348,0.01029,0.14065,0.00289,0.10079
"Iowa","2000",0.01685,0.01752,0.05736,0.05109,0.1338,0.09517,0.02296,0.1336,0.0014,0.12449
"Iowa","2017",0.01761,0.0232,0.04211,0.06483,0.13115,0.10603,0.0129,0.10808,0.00209,0.10844
"Kansas","2000",0.01472,0.01116,0.04401,0.04313,0.15845,0.09217,0.02838,0.11579,0.0101,0.1151
"Kansas","2017",0.01732,0.01471,0.03241,0.05297,0.15398,0.10531,0.01252,0.08786,0.02123,0.09734
"Kentucky","2000",0.01312,0.01223,0.04852,0.03524,0.14998,0.08685,0.01634,0.13653,0.00939,0.11709
"Kentucky","2017",0.01656,0.01614,0.03332,0.04279,0.1396,0.1071,0.01117,0.1025,0.00724,0.10389
"Louisiana","2000",0.02169,0.01512,0.0168,0.03624,0.17327,0.09218,0.0144,0.07465,0.02168,0.11315
"Louisiana","2017",0.02006,0.02057,0.01212,0.03969,0.1328,0.11715,0.01096,0.05372,0.02277,0.10369
"Maine","2000",0.02161,0.01717,0.01343,0.0412,0.13739,0.12228,0.01767,0.10601,NA,0.13422
"Maine","2017",0.02545,0.02623,0.01271,0.03952,0.12835,0.14082,0.01175,0.06747,0.00148,0.11931
"Maryland","2000",0.0201,0.02054,0.00614,0.04514,0.16698,0.10332,0.02207,0.05789,0.00087,0.11391
"Maryland","2017",0.02498,0.02888,0.00521,0.04451,0.1534,0.1195,0.01388,0.03173,0.00108,0.09369
"Massachusetts","2000",0.02067,0.04297,0.00263,0.05813,0.11169,0.11785,0.02999,0.1024,0.00057,0.10203
"Massachusetts","2017",0.02655,0.05141,0.00219,0.05873,0.09672,0.14601,0.02237,0.05423,0.00069,0.08968
"Michigan","2000",0.01742,0.01184,0.0131,0.0373,0.12421,0.09566,0.01575,0.16221,0.0024,0.11743
"Michigan","2017",0.01944,0.01909,0.01093,0.04413,0.10829,0.12062,0.01266,0.11395,0.00295,0.10125
"Minnesota","2000",0.01928,0.01656,0.03022,0.05219,0.12209,0.10171,0.02298,0.12234,0.00261,0.11277
"Minnesota","2017",0.0245,0.02498,0.01982,0.05756,0.11413,0.13413,0.01585,0.08966,0.00274,0.09765
"Mississippi","2000",0.01804,0.01143,0.03732,0.03191,0.18534,0.07236,0.0131,0.15164,0.00538,0.11684
"Mississippi","2017",0.01254,0.01612,0.025,0.03563,0.17074,0.10028,0.00943,0.09418,0.00812,0.10864
"Missouri","2000",0.01881,0.01832,0.03575,0.04482,0.13534,0.0926,0.02509,0.10749,0.00202,0.11182
"Missouri","2017",0.01981,0.02264,0.02513,0.05198,0.12595,0.12031,0.01534,0.07491,0.00235,0.10312
"Montana","2000",0.02612,0.00919,0.05936,0.03704,0.16117,0.09754,0.01692,0.04499,0.01151,0.12558
"Montana","2017",0.03057,0.01289,0.04492,0.0375,0.14227,0.11388,0.01256,0.03648,0.01765,0.1118
