"edition","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust"
"The Refugee Brief – 10 December 2021",22,20,11,50,15,56,37,35,17,26
"The Refugee Brief – 11 February 2022",27,16,8,54,13,51,48,28,12,27
"The Refugee Brief – 14 January 2021",26,11,7,42,10,56,46,31,12,24
"The Refugee Brief – 17 December 2021",17,15,4,32,15,34,44,21,9,25
"The Refugee Brief – 19 November 2021",16,33,8,39,27,54,66,29,21,35
"The Refugee Brief – 21 January 2022",30,22,11,48,18,67,44,34,14,33
"The Refugee Brief – 26 November 2021",33,18,6,54,12,51,44,33,8,18
"The Refugee Brief – 28 January 2022",27,22,11,59,13,64,56,30,11,24
"The Refugee Brief – 3 December 2021",23,28,13,61,12,73,52,32,15,32
"The Refugee Brief – 7 January 2022",21,26,2,29,19,46,52,26,19,33
